,MW
2022-10-25,3977.9428188232037
2022-10-26,4412.367395948237
2022-10-27,4422.388271160631
2022-10-28,4465.097829991425
2022-10-29,3702.575928161349
2022-10-30,4033.804734430397
2022-10-31,3675.703452958972
2022-11-01,4006.9898125524446
2022-11-02,4383.3805766702735
2022-11-03,4451.315040646158
2022-11-04,4436.230985897739
2022-11-05,3731.3829710060777
2022-11-06,4005.057368948919
2022-11-07,3704.3912647062616
2022-11-08,3978.3614311663946
2022-11-09,4411.94965081245
2022-11-10,4422.805150885541
2022-11-11,4464.6818138845865
2022-11-12,3702.9910824392077
2022-11-13,4033.3904401961313
2022-11-14,3676.1168889313312
2022-11-15,4006.577233063996
2022-11-16,4383.792301449124
2022-11-17,4450.904168806268
2022-11-18,4436.641006565637
2022-11-19,3730.973799746863
2022-11-20,4005.4656925591053
2022-11-21,3703.983786989093
2022-11-22,3978.768064742918
2022-11-23,4411.543859627831
2022-11-24,4423.210101423376
2022-11-25,4464.277702252031
2022-11-26,3703.3943569043795
2022-11-27,4032.988001164047
2022-11-28,3676.5184942610313
2022-11-29,4006.1764597095626
2022-11-30,4384.192244551831
2022-12-01,4450.505054235317
2022-12-02,4437.039294321236
2022-12-03,3730.576337093763
2022-12-04,4005.862331819007
2022-12-05,3703.587969416628
2022-12-06,3979.163062330174
2022-12-07,4411.149680327083
2022-12-08,4423.603464132797
2022-12-09,4463.885154442265
2022-12-10,3703.7860915026554
2022-12-11,4032.5970780925927
2022-12-12,3676.9086074868424
2022-12-13,4005.7871546516985
2022-12-14,4384.580743115968
2022-12-15,4450.117360494156
2022-12-16,4437.426184906713
2022-12-17,3730.1902480001345
2022-12-18,4006.2476210811774
2022-12-19,3703.2034783289655
2022-12-20,3979.546756896845
2022-12-21,4410.76678063131
2022-12-22,4423.985570604345
2022-12-23,4463.50383955168
2022-12-24,3704.166616452136
2022-12-25,4032.217341447755
2022-12-26,3677.287557460107
2022-12-27,4005.408989720318
2022-12-28,4384.958124631776
2022-12-29,4449.740760770979
2022-12-30,4437.80200445684
2022-12-31,
